anio_enfr,prov_id,prov_nombre,grupo_edad_amp,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2018,82,Santa Fe,20 a 29,Varón,8401,3888.54,0.46,0.04,0.02,0.48,Muy alta
2018,82,Santa Fe,30 a 44,Mujer,29614,7198.14,0.24,0.09,0.02,0.23,Alta
2018,82,Santa Fe,30 a 44,Varón,14647,4598.77,0.31,0.05,0.02,0.33,Muy alta
2018,82,Santa Fe,45 a 59,Mujer,33747,7588.2,0.22,0.14,0.03,0.22,Alta
2018,82,Santa Fe,45 a 59,Varón,48495,9660.82,0.2,0.23,0.04,0.19,Moderada
2018,82,Santa Fe,60 a 74,Mujer,45605,9722.07,0.21,0.26,0.05,0.19,Moderada
2018,82,Santa Fe,60 a 74,Varón,49437,11662.17,0.24,0.27,0.06,0.22,Alta
2018,82,Santa Fe,75+,Mujer,18136,5856.52,0.32,0.18,0.06,0.32,Muy alta
2018,82,Santa Fe,75+,Varón,9288,3530.35,0.38,0.15,0.05,0.35,Muy alta
2018,86,Santiago del Estero,20 a 29,Mujer,8382,3082.34,0.37,0.14,0.05,0.36,Muy alta
2018,86,Santiago del Estero,20 a 29,Varón,0,0,,0,0,,
2018,86,Santiago del Estero,30 a 44,Mujer,10197,2932.52,0.29,0.15,0.04,0.28,Alta
2018,86,Santiago del Estero,30 a 44,Varón,4125,1662.38,0.4,0.06,0.03,0.45,Muy alta
2018,86,Santiago del Estero,45 a 59,Mujer,9715,2953.5,0.3,0.21,0.06,0.28,Alta
2018,86,Santiago del Estero,45 a 59,Varón,11712,3079.57,0.26,0.24,0.06,0.27,Alta
2018,86,Santiago del Estero,60 a 74,Mujer,7807,2382.69,0.31,0.23,0.07,0.3,Alta
2018,86,Santiago del Estero,60 a 74,Varón,7025,2229.52,0.32,0.31,0.1,0.32,Muy alta
2018,86,Santiago del Estero,75+,Mujer,361,351.83,0.97,0.03,0.03,0.93,Muy alta
2018,86,Santiago del Estero,75+,Varón,1834,1286.27,0.7,0.18,0.12,0.68,Muy alta
2018,90,Tucumán,20 a 29,Mujer,11672,3407.77,0.29,0.1,0.03,0.27,Alta
2018,90,Tucumán,20 a 29,Varón,5062,2259.85,0.45,0.05,0.02,0.45,Muy alta
2018,90,Tucumán,30 a 44,Mujer,22310,4533.03,0.2,0.16,0.03,0.19,Moderada
2018,90,Tucumán,30 a 44,Varón,8636,3430.13,0.4,0.07,0.03,0.4,Muy alta
2018,90,Tucumán,45 a 59,Mujer,14272,3941.86,0.28,0.17,0.05,0.29,Alta
2018,90,Tucumán,45 a 59,Varón,20751,4690.68,0.23,0.22,0.05,0.21,Alta
2018,90,Tucumán,60 a 74,Mujer,15360,3097.27,0.2,0.2,0.04,0.21,Alta
2018,90,Tucumán,60 a 74,Varón,13864,4619.25,0.33,0.2,0.06,0.31,Muy alta
