anio_enfr,region,grupo_edad_amp,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2013,Centro,45 a 59,Mujer,566,37.7333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,1375.02395700471
2013,Centro,45 a 59,Varón,977,65.1333333333334,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,2046.90804771118
2013,Centro,60 a 74,Mujer,2071,138.066666666667,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,3186.78383426415
2013,Centro,60 a 74,Varón,2857,190.466666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,3588.84954196149
2013,Centro,75+,Mujer,3674,244.933333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,2869.2422055478
2013,Centro,75+,Varón,2960,197.333333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,1834.84991496802
2013,Cuyo,20 a 29,Mujer,14,1.16666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,70.4701362607014
2013,Cuyo,20 a 29,Varón,5,0.416666666666667,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,22.7735718279021
2013,Cuyo,30 a 44,Mujer,31,2.58333333333333,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,131.013976001719
2013,Cuyo,30 a 44,Varón,32,2.66666666666667,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,120.903067039276
2013,Cuyo,45 a 59,Mujer,148,12.3333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,449.43362552274
2013,Cuyo,45 a 59,Varón,235,19.5833333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,615.434226218177
2013,Cuyo,60 a 74,Mujer,623,51.9166666666667,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1198.31381503293
2013,Cuyo,60 a 74,Varón,795,66.25,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1248.30914677082
2013,Cuyo,75+,Mujer,782,65.1666666666667,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,763.38711375149
2013,Cuyo,75+,Varón,631,52.5833333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,488.931712983455
2013,NEA,20 a 29,Mujer,8,0.666666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,40.2686492918294
2013,NEA,20 a 29,Varón,10,0.833333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,45.5471436558041
2013,NEA,30 a 44,Mujer,37,3.08333333333333,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,156.371519743988
2013,NEA,30 a 44,Varón,39,3.25,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,147.350612954117
2013,NEA,45 a 59,Mujer,208,17.3333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,631.636446680607
2013,NEA,45 a 59,Varón,274,22.8333333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,717.570119079917
2013,NEA,60 a 74,Mujer,572,47.6666666666667,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1100.21749951659
