anio_enfr,prov_id,prov_nombre,region,grupo_edad_amp,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2005,38,Jujuy,NOA1,60 a 74,Varón,59,19.6666666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,370.567243569702
2005,38,Jujuy,NOA1,75+,Mujer,54,18,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,210.858844719082
2005,38,Jujuy,NOA1,75+,Varón,37,12.3333333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,114.678119685501
2005,42,La Pampa,Patagonia Norte,20 a 29,Mujer,1,0.333333333333333,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,20.1343246459147
2005,42,La Pampa,Patagonia Norte,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2005,42,La Pampa,Patagonia Norte,30 a 44,Mujer,0,0,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,0
2005,42,La Pampa,Patagonia Norte,30 a 44,Varón,0,0,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,0
2005,42,La Pampa,Patagonia Norte,45 a 59,Mujer,10,3.33333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,121.468547438578
2005,42,La Pampa,Patagonia Norte,45 a 59,Varón,10,3.33333333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,104.754761909477
2005,42,La Pampa,Patagonia Norte,60 a 74,Mujer,22,7.33333333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,169.264230694861
2005,42,La Pampa,Patagonia Norte,60 a 74,Varón,34,11.3333333333333,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,213.547225107964
2005,42,La Pampa,Patagonia Norte,75+,Mujer,52,17.3333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,203.049257877634
2005,42,La Pampa,Patagonia Norte,75+,Varón,38,12.6666666666667,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,117.77752832565
2005,46,La Rioja,Cuyo,20 a 29,Mujer,0,0,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,0
2005,46,La Rioja,Cuyo,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2005,46,La Rioja,Cuyo,30 a 44,Mujer,2,0.666666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,33.8100583230244
2005,46,La Rioja,Cuyo,30 a 44,Varón,1,0.333333333333333,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,15.1128833799095
2005,46,La Rioja,Cuyo,45 a 59,Mujer,15,5,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,182.202821157867
2005,46,La Rioja,Cuyo,45 a 59,Varón,23,7.66666666666667,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,240.935952391797
2005,46,La Rioja,Cuyo,60 a 74,Mujer,30,10,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,230.814860038446
2005,46,La Rioja,Cuyo,60 a 74,Varón,40,13.3333333333333,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,251.232029538781
2005,46,La Rioja,Cuyo,75+,Mujer,34,11.3333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,132.762976304607
2005,46,La Rioja,Cuyo,75+,Varón,19,6.33333333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,58.888764162825
2005,50,Mendoza,Cuyo,20 a 29,Mujer,3,1,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,60.4029739377441
2005,50,Mendoza,Cuyo,20 a 29,Varón,2,0.666666666666667,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,36.4377149246433
2005,50,Mendoza,Cuyo,30 a 44,Mujer,12,4,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,202.860349938146
2005,50,Mendoza,Cuyo,30 a 44,Varón,9,3,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,136.015950419185
2005,50,Mendoza,Cuyo,45 a 59,Mujer,103,34.3333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,1251.12603861736
2005,50,Mendoza,Cuyo,45 a 59,Varón,158,52.6666666666667,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,1655.12523816974
2005,50,Mendoza,Cuyo,60 a 74,Mujer,430,143.333333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,3308.34632721773
2005,50,Mendoza,Cuyo,60 a 74,Varón,556,185.333333333333,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,3492.12521058906
2005,50,Mendoza,Cuyo,75+,Mujer,420,140,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,1640.01323670397
2005,50,Mendoza,Cuyo,75+,Varón,300,100,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,929.822592044606
2005,54,Misiones,NEA,20 a 29,Mujer,2,0.666666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,40.2686492918294
2005,54,Misiones,NEA,20 a 29,Varón,2,0.666666666666667,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,36.4377149246433
2005,54,Misiones,NEA,30 a 44,Mujer,8,2.66666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,135.240233292098
